treat,heat,id,time,t_water,t_air,posture,urine,mass_initial,mass_final,svl,population,feed,Snout,Eye,Head,Dorsum,Leg,Foot,Tail,jump,heat2
Heliothermy,Heating,EV17,160,18.9,18.6,0.5,0,10.266,10.2356,73.58,Evora,1,3.4,6.2,7.3,8.8,10.2,4.9,8.6,,1
Heliothermy,Heating,PT18,160,18.8,18.6,0.5,1,12.0763,12.0672,77.51,Portimao,1,5,6.9,7.1,9.9,12,4.9,8.6,,1
Thigmothermy,Heating,PT14,380,34.9,19.1,0.5,1,7.9894,7.9154,70.07,Portimao,2,5.6,5.3,6.9,7.1,7.7,7.9,8.6,,1
Thigmothermy,Heating,AY6,200,35.3,19,0,0,6.9866,6.9767,58.2,Ayamonte,1,5.4,5.8,6.1,6.4,7,9.6,8.6,,1
Thigmothermy,Heating,TV14,340,35,18.8,0.5,0,8.1587,8.1162,68.75,Torres Vedras,2,9,8.8,9.3,8.7,10.4,11,8.6,,1
Thigmothermy,Heating,AY19,480,34.8,19.2,0.5,0,10.8708,10.8531,77.85,Ayamonte,2,6.5,6.9,7.8,8.4,9.7,11.8,8.6,,1
Thigmothermy,Cooling,EV17,260,18.3,18.1,0,0,10.4821,10.4698,73.58,Evora,2,-5.6,-5,-5.7,-6.1,-7.7,,-5.8,,2
Thigmothermy,Cooling,AY18,320,18.3,18.2,0,0,7.667,7.6553,64.5,Ayamonte,2,-3.6,-4.1,-4.9,-6.1,,,-5.8,,2
Thigmothermy,Cooling,PT14,280,19.2,19.2,0,1,7.9894,7.9154,70.07,Portimao,2,-3.7,-3.9,-4.7,-6.2,-5.9,-3.3,-6.2,,2
Thigmothermy,Heating,AY18,460,35.1,18.1,0,0,7.667,7.6553,64.5,Ayamonte,2,5.2,6.1,8,9.2,7.9,9.8,8.7,,1
Thigmothermy,Heating,PT18,460,35.3,18.9,0,1,12.0487,12.0238,77.51,Portimao,1,6.3,5.6,7.1,7.7,9.2,11.2,8.7,,1
Thigmothermy,Heating,TV13,220,35.3,18.9,0,0,6.7359,6.7272,72.67,Torres Vedras,1,8.9,6.5,6.8,6.5,8.8,12.1,8.7,,1
Heliothermy,Heating,PTB,220,18.8,18.6,0.5,1,11.3208,11.2212,78.17,Portimao,1,7.9,10.7,9.2,9.5,10.4,,8.7,,1
Heliothermy,Heating,PT1,360,18.3,18.4,0.5,0,11.5596,11.5235,77.16,Portimao,1,6.3,10.2,11.6,11.7,10.9,4.5,8.8,,1
Heliothermy,Heating,TV13,320,18.8,19.1,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,,,11.9,12.4,9.6,5.9,8.8,,1
Heliothermy,Heating,TV2,320,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,6.3,5.8,6.4,11.4,12,7.1,8.8,,1
Thigmothermy,Heating,PTB,440,35.4,19.5,0,0,11.7068,11.6489,78.17,Portimao,1,8.4,8.7,8.4,9,8.2,11.6,8.8,,1
Thigmothermy,Heating,EV8,420,35.2,19.2,0,1,9.5652,9.2853,76.37,Evora,1,4,5.1,7.1,7.5,9.5,11.6,8.8,,1
Thigmothermy,Heating,PTB,460,35.4,19.5,1,0,11.7068,11.6489,78.17,Portimao,1,8.8,7.7,8.7,9.2,8.4,11.8,8.8,,1
Thigmothermy,Cooling,EV17,280,18.3,18.1,0,0,10.4821,10.4698,73.58,Evora,2,-5.6,-6.1,-6,-6.2,-7.8,,-6,,2
Thigmothermy,Heating,EV12,580,35,19,1,1,9.6202,9.6072,64.66,Evora,2,5.4,5.7,6.1,6.7,6.4,12,8.8,,1
Thigmothermy,Cooling,TV14,280,18.5,19.2,0,0,8.1587,8.1162,68.75,Torres Vedras,2,-6.3,-6.1,-6.2,-6.2,-6,-10.4,-5.7,,2
Thigmothermy,Cooling,PTA,320,19,19,1,0,7.4231,7.4134,68.14,Portimao,2,-5.2,-5.8,-6.5,-6.3,-7.9,-11.8,,,2
Heliothermy,Heating,TV2,340,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,6.7,6,6.6,11.7,12.3,7.2,8.9,,1
Thigmothermy,Heating,TV16,340,35,19.1,0,0,6.6253,6.6228,64.02,Torres Vedras,2,9.9,6.8,7.9,7.9,5.5,8,8.9,,1
Thigmothermy,Heating,AY21,340,35,19.2,0.5,0,7.5546,7.5448,64.65,Ayamonte,1,6.5,6.9,8.3,8.1,8.2,8.6,8.9,,1
Thigmothermy,Cooling,TV16,260,19,19.1,0,0,6.6253,6.6228,64.02,Torres Vedras,2,-7,-6.6,-6.6,-6.3,-5.2,-8,-7.1,,2
Thigmothermy,Heating,AY6,220,35.3,19,0,0,6.9866,6.9767,58.2,Ayamonte,1,5.3,5.9,6.3,6.8,7.3,9.6,8.9,,1
Thigmothermy,Heating,AY18,480,35.1,18.1,0,0,7.667,7.6553,64.5,Ayamonte,2,5.6,6.4,8.3,9.4,,10,8.9,,1
Thigmothermy,Cooling,PT14,300,19.2,19.2,0,1,7.9894,7.9154,70.07,Portimao,2,-3.8,-4.2,-5,-6.4,-6.2,-3.4,-6.5,,2
Thigmothermy,Heating,PT18,480,35.3,18.9,0,1,12.0487,12.0238,77.51,Portimao,1,6.4,5.8,7.3,7.9,9.3,11.2,8.9,,1
Thigmothermy,Heating,EV8,440,35.2,19.2,0,1,9.5652,9.2853,76.37,Evora,1,4.2,5.2,7.3,7.8,9.8,11.6,8.9,,1
Thigmothermy,Heating,AY19,500,34.9,19.2,0.5,0,10.8708,10.8531,77.85,Ayamonte,2,6.3,6.8,7.9,8.5,9.7,11.9,8.9,,1
Thigmothermy,Heating,EV17,360,35.2,18.2,0,0,10.4821,10.4698,73.58,Evora,2,9.5,8.5,9.1,8.9,10.2,11.9,8.9,,1
Heliothermy,Heating,PT14,220,19.1,19,0,0,7.78,7.763,70.07,Portimao,3,7,9.1,10.8,12.6,4.1,1.8,9,,1
Heliothermy,Heating,EV12,240,18.6,18.4,0.5,1,9.6967,9.6624,64.66,Evora,1,11,11.3,11.7,10.7,7.8,4.1,9,,1
Heliothermy,Heating,EV17,180,18.9,18.7,0.5,0,10.266,10.2356,73.58,Evora,1,3.5,6.5,7.7,9.3,10.9,5.1,9,,1
Thigmothermy,Heating,PT14,440,34.9,19.2,0.5,1,7.9894,7.9154,70.07,Portimao,2,5.4,5.4,7.4,7.7,8,9.1,9,,1
Thigmothermy,Heating,AY18,440,35.1,18.1,0,0,7.667,7.6553,64.5,Ayamonte,2,5,6,7.9,9,8.5,9.3,9,1,1
Thigmothermy,Heating,TV14,360,35,18.9,0.5,0,8.1587,8.1162,68.75,Torres Vedras,2,9.1,9.2,9.5,9,10.6,11,9,,1
Thigmothermy,Heating,PT18,500,35.3,18.9,0,1,12.0487,12.0238,77.51,Portimao,1,6.8,6,7.5,8,9.4,11.3,9,,1
Thigmothermy,Heating,EV12,600,35,19,1,1,9.6202,9.6072,64.66,Evora,2,5.4,5.9,6.5,7,6.6,12.1,9,,1
Heliothermy,Heating,EV1,220,18.9,18.9,0.5,0,6.6861,6.6577,55.21,Evora,1,,,,,8.3,,9,1,1
Heliothermy,Heating,AY6,140,19,18.8,0,0,7.0416,7.0309,58.2,Ayamonte,3,4.4,5.8,6.4,7.6,10,3.9,9.1,,1
Heliothermy,Heating,PTA,180,18.6,18.7,0,0,7.6055,7.5934,68.14,Portimao,1,6.5,10.6,9.2,10.5,10.7,4.1,9.1,,1
Heliothermy,Heating,TV16,180,18.9,18.6,0,0,6.6971,6.6916,64.02,Torres Vedras,1,4.8,7.1,7.7,8,7.7,4.4,9.1,,1
Heliothermy,Heating,PT1,380,18.3,18.4,0.5,0,11.5596,11.5235,77.16,Portimao,1,6.3,10.2,11.9,12.1,11.4,4.7,9.1,,1
Heliothermy,Heating,TV10,140,18.7,19,0,0,6.3937,6.3826,68.33,Torres Vedras,3,3.8,4.8,6.2,7.9,7.3,5.9,9.1,,1
Heliothermy,Heating,TV2,360,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,6.7,5.9,6.7,11.8,12.4,7,9.1,,1
Thigmothermy,Heating,PT14,400,35,19.1,0.5,1,7.9894,7.9154,70.07,Portimao,2,,,7.3,7.2,7.9,7.8,9.1,1,1
Thigmothermy,Heating,TV16,360,35,19.1,0,0,6.6253,6.6228,64.02,Torres Vedras,2,10.3,7.2,8.3,8.2,5.7,8.1,9.1,,1
Thigmothermy,Heating,EV1,340,35.3,18.9,0,0,6.5996,6.5846,55.21,Evora,1,7.4,5.6,7.5,8,7.4,8.6,9.1,,1
Thigmothermy,Heating,AY21,360,35,19.2,0.5,0,7.5546,7.5448,64.65,Ayamonte,1,6.5,7,8.4,8.3,8.3,8.6,9.1,,1
Thigmothermy,Heating,AY18,500,35.1,18.1,0,0,7.667,7.6553,64.5,Ayamonte,2,6.1,6.6,8.5,9.6,,9.8,9.1,,1
Thigmothermy,Heating,PTB,480,35.4,19.5,1,0,11.7068,11.6489,78.17,Portimao,1,8.3,7.3,8.9,9.4,8.5,11.5,9.1,1,1
Thigmothermy,Heating,EV8,460,35.2,19.2,0,1,9.5652,9.2853,76.37,Evora,1,4.5,5.6,7.5,7.9,9.9,11.7,9.1,,1
Thigmothermy,Heating,AY19,520,34.9,19.2,1,0,10.8708,10.8531,77.85,Ayamonte,2,5.9,6.8,7.8,8.5,9.7,11.8,9.1,,1
Thigmothermy,Heating,EV17,380,35.2,18.2,0,0,10.4821,10.4698,73.58,Evora,2,9.5,8.7,9.4,9.3,10.4,11.9,9.1,,1
Thigmothermy,Heating,AY7,340,35.3,19.4,0.5,0,7.2759,7.2654,58.2,Ayamonte,1,4.5,5.4,6.2,6.3,7.9,12,9.1,,1
Thigmothermy,Heating,TV13,240,35.3,18.9,0,0,6.7359,6.7272,72.67,Torres Vedras,1,9.1,6.8,7.3,6.9,9.2,12.2,9.1,,1
Thigmothermy,Cooling,TV14,300,18.5,19.2,0,0,8.1587,8.1162,68.75,Torres Vedras,2,-6.2,-6.3,-6.4,-6.4,-6.2,-10.4,-5.9,,2
Heliothermy,Heating,AY21,200,19.3,18.9,0,1,7.657,7.6124,64.65,Ayamonte,3,4.7,6.5,7,10.6,9.1,4,9.2,,1
Heliothermy,Heating,PT18,180,18.8,18.6,0.5,1,12.0763,12.0672,77.51,Portimao,1,5.7,6.9,7.8,10.4,12.6,5.7,9.2,,1
Thigmothermy,Heating,PT14,460,35,19.2,0.5,1,7.9894,7.9154,70.07,Portimao,2,5.9,5.6,7.5,7.9,8.1,9.7,9.2,,1
Thigmothermy,Heating,TV10,240,35.4,19.3,0,0,6.4739,6.4549,68.33,Torres Vedras,1,8.8,7.1,7.7,7.3,10.1,10.6,9.2,,1
Thigmothermy,Cooling,TV13,260,18.9,18.8,0.5,0,6.7359,6.7272,72.67,Torres Vedras,1,-7.6,-5.6,-6.1,-6.5,-6.7,-12.1,-6.9,,2
